,C,G,T,A,D,N,K,Y,R,M,S,W,H,V,B
>NC_000924.1,0.22793903,0.265736987,0.247462299,0.258861683,0,0,0,0,0,0,0,0,0,0,0
>NC_000871.1,0.171153332,0.211586834,0.271287129,0.345972705,0,0,0,0,0,0,0,0,0,0,0
>NC_000872.1,0.169640885,0.206018803,0.279265569,0.345074744,0,0,0,0,0,0,0,0,0,0,0
>NC_000896.1,0.156583305,0.199132123,0.296539911,0.347744661,0,0,0,0,0,0,0,0,0,0,0
>NC_000902.1,0.230054806,0.269075514,0.244494766,0.256374914,0,0,0,0,0,0,0,0,0,0,0
>NC_000929.1,0.243266062,0.277283002,0.231336983,0.248113953,0,0,0,0,0,0,0,0,0,0,0
>NC_001271.1,0.236363636,0.269949495,0.231590909,0.26209596,0,0,0,0,0,0,0,0,0,0,0
>NC_002166.1,0.237908272,0.25692621,0.243282373,0.261883144,0,0,0,0,0,0,0,0,0,0,0
>NC_002167.1,0.241644015,0.256216652,0.240712776,0.261426558,0,0,0,0,0,0,0,0,0,0,0
>NC_002185.1,0.176507077,0.21076524,0.268905431,0.343822252,0,0,0,0,0,0,0,0,0,0,0
>NC_002194.1,0.186061801,0.223317993,0.304404997,0.286215209,0,0,0,0,0,0,0,0,0,0,0
>NC_002214.1,0.172683196,0.212877132,0.273067551,0.34137212,0,0,0,0,0,0,0,0,0,0,0
>NC_002321.1,0.143184947,0.192362503,0.290451921,0.374000628,0,0,0,0,0,0,0,0,0,0,0
>NC_002362.1,0.222677596,0.22893898,0.280168488,0.268214936,0,0,0,0,0,0,0,0,0,0,0
>NC_002363.1,0.232041794,0.240313452,0.269481933,0.258162821,0,0,0,0,0,0,0,0,0,0,0
>NC_002486.1,0.143811903,0.190945745,0.293605925,0.371636427,0,0,0,0,0,0,0,0,0,0,0
>NC_002180.1,0.183583407,0.222639011,0.304501324,0.289276258,0,0,0,0,0,0,0,0,0,0,0
>NC_002515.1,0.127787307,0.140137221,0.365866209,0.366209262,0,0,0,0,0,0,0,0,0,0,0
>AF189021.1,0.226627901,0.234974184,0.263697428,0.274550103,0,0.000150383,0,0,0,0,0,0,0,0,0
>AF319619.1,0.334359307,0.292402398,0.167341649,0.205896647,0,0,0,0,0,0,0,0,0,0,0
>NC_002643.1,0.278406617,0.182629517,0.191336526,0.34762734,0,0,0,0,0,0,0,0,0,0,0
>X96987.2,0.179942259,0.166595674,0.332055469,0.321359269,0,0,4.73E-05,0,0,0,0,0,0,0,0
>NC_002656.1,0.326013848,0.310484669,0.180712166,0.182789318,0,0,0,0,0,0,0,0,0,0,0
>AF323668.1,0.154201137,0.197675727,0.293432382,0.354690754,0,0,0,0,0,0,0,0,0,0,0
>AF323669.1,0.15800545,0.19522398,0.289979443,0.356791127,0,0,0,0,0,0,0,0,0,0,0
>AF323670.1,0.159571301,0.197217787,0.293404422,0.34980649,0,0,0,0,0,0,0,0,0,0,0
>AF323671.1,0.178311159,0.180450625,0.299458448,0.341779769,0,0,0,0,0,0,0,0,0,0,0
>AF323672.1,0.159200551,0.183184011,0.32053756,0.337077877,0,0,0,0,0,0,0,0,0,0,0
>AF323673.1,0.151327492,0.179063179,0.3181369,0.351472429,0,0,0,0,0,0,0,0,0,0,0
>NC_002670.1,0.159200551,0.183184011,0.32053756,0.337077877,0,0,0,0,0,0,0,0,0,0,0
>NC_002666.1,0.154201137,0.197675727,0.293432382,0.354690754,0,0,0,0,0,0,0,0,0,0,0
>NC_002667.1,0.15800545,0.19522398,0.289979443,0.356791127,0,0,0,0,0,0,0,0,0,0,0
>NC_002668.1,0.159571301,0.197217787,0.293404422,0.34980649,0,0,0,0,0,0,0,0,0,0,0
>NC_002669.1,0.178311159,0.180450625,0.299458448,0.341779769,0,0,0,0,0,0,0,0,0,0,0
>NC_002671.1,0.151327492,0.179063179,0.3181369,0.351472429,0,0,0,0,0,0,0,0,0,0,0
>NC_002703.1,0.160507993,0.201710694,0.282760059,0.355021253,0,0,0,0,0,0,0,0,0,0,0
>NC_002730.1,0.225944591,0.24093271,0.256808627,0.276314072,0,0,0,0,0,0,0,0,0,0,0
>NC_002747.1,0.156901266,0.196883213,0.290439908,0.355775613,0,0,0,0,0,0,0,0,0,0,0
>NC_002796.1,0.155388346,0.194360423,0.291903107,0.358348124,0,0,0,0,0,0,0,0,0,0,0
>NC_003085.1,0.334013001,0.343440869,0.15722534,0.16532079,0,0,0,0,0,0,0,0,0,0,0
>AF416590.1,0.232541899,0.241096369,0.290328212,0.23603352,0,0,0,0,0,0,0,0,0,0,0
>NC_003216.1,0.158250478,0.202821178,0.282191311,0.356737033,0,0,0,0,0,0,0,0,0,0,0
>AJ344259.1,0.122990127,0.12899859,0.363921016,0.384090268,0,0,0,0,0,0,0,0,0,0,0
>NC_003278.1,0.334626194,0.291596402,0.168156268,0.205621135,0,0,0,0,0,0,0,0,0,0,0
>NC_003288.1,0.154383603,0.199925721,0.276966644,0.368724031,0,0,0,0,0,0,0,0,0,0,0
>NC_003298.1,0.233851549,0.265153894,0.236835218,0.264159338,0,0,0,0,0,0,0,0,0,0,0
>NC_003299.1,0.27116721,0.269039853,0.228194582,0.231598355,0,0,0,0,0,0,0,0,0,0,0
>NC_003300.1,0.26555579,0.287070238,0.224847079,0.222526893,0,0,0,0,0,0,0,0,0,0,0
>NC_003301.1,0.254699248,0.289786967,0.231829574,0.223684211,0,0,0,0,0,0,0,0,0,0,0
>NC_003313.1,0.251162931,0.237811877,0.222225578,0.288799613,0,0,0,0,0,0,0,0,0,0,0
>NC_003309.1,0.2857812,0.326138684,0.193674704,0.194405411,0,0,0,0,0,0,0,0,0,0,0
>NC_003315.1,0.194109433,0.20524946,0.270217088,0.330424019,0,0,0,0,0,0,0,0,0,0,0
>NC_003324.1,0.308990525,0.305872927,0.198341926,0.186794622,0,0,0,0,0,0,0,0,0,0,0
>AJ298298.1,0.223840282,0.269665297,0.253059307,0.253435115,0,0,0,0,0,0,0,0,0,0,0
>NC_003387.1,0.336193344,0.344943842,0.145993144,0.172869671,0,0,0,0,0,0,0,0,0,0,0
>AF424782.1,0.136869024,0.196597732,0.295263509,0.371247498,0,2.22E-05,0,0,0,0,0,0,0,0,0
>AF424783.1,0.141964328,0.19275783,0.296545106,0.368732737,0,0,0,0,0,0,0,0,0,0,0
>AF432870.1,0.135622318,0.177682403,0.311587983,0.375107296,0,0,0,0,0,0,0,0,0,0,0
>AJ414696.1,0.124210722,0.12848211,0.362417977,0.384393958,0,0,3.10E-05,0.000216665,0.000216665,3.10E-05,0,0,0,0,0
>NC_003444.1,0.235717754,0.271969574,0.244052436,0.248260236,0,0,0,0,0,0,0,0,0,0,0
>NC_003460.1,0.263266713,0.379565817,0.228463129,0.128704342,0,0,0,0,0,0,0,0,0,0,0
>NC_003525.1,0.227896058,0.265992067,0.247308346,0.25880353,0,0,0,0,0,0,0,0,0,0,0
>NC_003524.1,0.092876115,0.190945176,0.306264363,0.409914346,0,0,0,0,0,0,0,0,0,0,0
>NC_003714.1,0.275101764,0.276458616,0.233717775,0.214721845,0,0,0,0,0,0,0,0,0,0,0
>NC_003715.1,0.287574521,0.267649827,0.243332287,0.201443364,0,0,0,0,0,0,0,0,0,0,0
>NC_003716.1,0.280334728,0.287226188,0.240462712,0.191976372,0,0,0,0,0,0,0,0,0,0,0
>NC_003793.1,0.080200824,0.151390319,0.400489186,0.36791967,0,0,0,0,0,0,0,0,0,0,0
>NC_004066.1,0.159954345,0.198407522,0.291918039,0.349720093,0,0,0,0,0,0,0,0,0,0,0
>AF527608.1,0.232048701,0.238855335,0.254194229,0.274901735,0,0,0,0,0,0,0,0,0,0,0
>NC_004112.1,0.205362696,0.243532745,0.250696828,0.300407731,0,0,0,0,0,0,0,0,0,0,0
>NC_004167.1,0.192142403,0.234761602,0.258080102,0.315015893,0,0,0,0,0,0,0,0,0,0,0
>NC_004165.1,0.18389694,0.192699946,0.308105207,0.315297907,0,0,0,0,0,0,0,0,0,0,0
>NC_004170.1,0.278765515,0.283126468,0.229453204,0.208654814,0,0,0,0,0,0,0,0,0,0,0
>NC_004171.1,0.289579872,0.289105151,0.234512224,0.186802753,0,0,0,0,0,0,0,0,0,0,0
>NC_004172.1,0.30891917,0.274698049,0.229947352,0.186435429,0,0,0,0,0,0,0,0,0,0,0
>NC_004173.1,0.266775293,0.274329729,0.220115538,0.23877944,0,0,0,0,0,0,0,0,0,0,0
>NC_004174.1,0.284668389,0.285099053,0.195951766,0.234280792,0,0,0,0,0,0,0,0,0,0,0
>NC_004175.1,0.272195122,0.28804878,0.228780488,0.21097561,0,0,0,0,0,0,0,0,0,0,0
>NC_004301.1,0.2404116,0.262160898,0.252572498,0.244855005,0,0,0,0,0,0,0,0,0,0,0
>NC_004302.1,0.157841079,0.196761619,0.286986507,0.358410795,0,0,0,0,0,0,0,0,0,0,0
>NC_004306.1,0.233123028,0.201104101,0.302681388,0.263091483,0,0,0,0,0,0,0,0,0,0,0
>NC_004303.1,0.172373767,0.210237957,0.278537435,0.338850842,0,0,0,0,0,0,0,0,0,0,0
>NC_004313.1,0.23935839,0.270791302,0.240827916,0.249022392,0,0,0,0,0,0,0,0,0,0,0
>NC_004348.1,0.234002802,0.241230119,0.25258733,0.272179749,0,0,0,0,0,0,0,0,0,0,0
>NC_003327.2,0.234960767,0.202266783,0.302818948,0.259953502,0,0,0,0,0,0,0,0,0,0,0
>NC_003050.2,0.165598291,0.218520175,0.2711936,0.344687935,0,0,0,0,0,0,0,0,0,0,0
>NC_003907.2,0.248891593,0.246305312,0.251890811,0.252912284,0,0,0,0,0,0,0,0,0,0,0
>NC_004456.1,0.234825686,0.271355155,0.248900412,0.244640956,0,4.63E-05,2.31E-05,4.63E-05,9.26E-05,0,4.63E-05,2.31E-05,0,0,0
>AF334111.2,0.22235239,0.216260544,0.293111528,0.268275539,0,0,0,0,0,0,0,0,0,0,0
>NC_004584.1,0.166750974,0.211265112,0.282335981,0.339647934,0,0,0,0,0,0,0,0,0,0,0
>NC_004585.1,0.16831418,0.214233541,0.276806584,0.340645695,0,0,0,0,0,0,0,0,0,0,0
>NC_004586.1,0.166594032,0.213661059,0.277056277,0.342688631,0,0,0,0,0,0,0,0,0,0,0
>NC_004587.1,0.169489903,0.216240789,0.275528759,0.338740549,0,0,0,0,0,0,0,0,0,0,0
>NC_004588.1,0.170967911,0.209862325,0.281840549,0.337329215,0,0,0,0,0,0,0,0,0,0,0
>NC_004589.1,0.177837757,0.219298246,0.276378268,0.32648573,0,0,0,0,0,0,0,0,0,0,0
>AB091475.1,0.20590043,0.22249539,0.25261217,0.31899201,0,0,0,0,0,0,0,0,0,0,0
>NC_004615.1,0.148724888,0.196243464,0.27969911,0.375332538,0,0,0,0,0,0,0,0,0,0,0
>NC_004616.1,0.136869024,0.196597732,0.295263509,0.371247498,0,2.22E-05,0,0,0,0,0,0,0,0,0
>NC_004617.1,0.141964328,0.19275783,0.296545106,0.368732737,0,0,0,0,0,0,0,0,0,0,0
>NC_004629.1,0.17672134,0.191610721,0.307747187,0.323920752,0,0,0,0,0,0,0,0,0,0,0
>NC_002072.2,0.177222462,0.213499928,0.266408157,0.342869453,0,0,0,0,0,0,0,0,0,0,0
>NC_000866.4,0.187847463,0.165130282,0.328602808,0.318401686,0,0,0,0,5.92E-06,5.92E-06,5.92E-06,0,0,0,0
>NC_004665.1,0.290987446,0.283171391,0.199791215,0.226049948,0,0,0,0,0,0,0,0,0,0,0
>NC_004678.1,0.155981888,0.140252622,0.366122498,0.337642993,0,0,0,0,0,0,0,0,0,0,0
>NC_004679.1,0.15498985,0.138256433,0.373456959,0.333296758,0,0,0,0,0,0,0,0,0,0,0
>AJ312240.2,0.142325482,0.204928492,0.290446063,0.362299963,0,0,0,0,0,0,0,0,0,0,0
>NC_003291.2,0.142325482,0.204928492,0.290446063,0.362299963,0,0,0,0,0,0,0,0,0,0,0
>NC_004735.1,0.212827539,0.212111648,0.289066108,0.285994704,0,0,0,0,0,0,0,0,0,0,0
>NC_004736.1,0.237204985,0.196499602,0.308273667,0.258021745,0,0,0,0,0,0,0,0,0,0,0
>NC_004740.1,0.141554376,0.186221133,0.301755819,0.370468672,0,0,0,0,0,0,0,0,0,0,0
>NC_004745.1,0.246094767,0.274960948,0.233890914,0.245053372,0,0,0,0,0,0,0,0,0,0,0
>NC_004746.1,0.153596021,0.200076511,0.288036944,0.358290524,0,0,0,0,0,0,0,0,0,0,0
>NC_004777.1,0.226627613,0.256530422,0.245879377,0.270962588,0,0,0,0,0,0,0,0,0,0,0
>AY212251.1,0.171390903,0.174866663,0.321747468,0.331994966,0,0,0,0,0,0,0,0,0,0,0
>NC_004813.1,0.230623166,0.275453133,0.243345417,0.250578284,0,0,0,0,0,0,0,0,0,0,0
>AJ560763.1,0.197476355,0.227081542,0.275718635,0.299723468,0,0,0,0,0,0,0,0,0,0,0
>NC_004820.1,0.15326981,0.223617558,0.272514048,0.350598583,0,0,0,0,0,0,0,0,0,0,0
>NC_004821.1,0.14025785,0.206981701,0.297541069,0.35521938,0,0,0,0,0,0,0,0,0,0,0
>NC_004831.2,0.209623249,0.262651648,0.253124357,0.274600745,0,0,0,0,0,0,0,0,0,0,0
>AP005153.1,0.22842682,0.268516353,0.245999399,0.257057428,0,0,0,0,0,0,0,0,0,0,0
>NC_004902.1,0.256191828,0.264192189,0.243887048,0.235728934,0,0,0,0,0,0,0,0,0,0,0
>NC_004928.1,0.194264741,0.18229291,0.317581762,0.305860587,0,0,0,0,0,0,0,0,0,0,0
>NC_004996.1,0.1693474,0.222154964,0.286060187,0.32243745,0,0,0,0,0,0,0,0,0,0,0
>NC_005045.1,0.311460759,0.311507797,0.170464969,0.206566476,0,0,0,0,0,0,0,0,0,0,0
>AF452449.2,0.234562482,0.200468247,0.306555458,0.258413813,0,0,0,0,0,0,0,0,0,0,0
>NC_005066.1,0.213872868,0.19054616,0.307405285,0.288175688,0,0,0,0,0,0,0,0,0,0,0
>NC_005069.1,0.212520771,0.233216081,0.270247524,0.284015624,0,0,0,0,0,0,0,0,0,0,0
>NC_005135.1,0.223335311,0.215472,0.289582985,0.271609703,0,0,0,0,0,0,0,0,0,0,0
>AJ567472.1,0.167042024,0.202357564,0.290095357,0.340505055,0,0,0,0,0,0,0,0,0,0,0
>NC_005178.1,0.32958443,0.313817766,0.162798118,0.193799686,0,0,0,0,0,0,0,0,0,0,0
>AJ609634.1,0.172516595,0.223896588,0.278514033,0.325072784,0,0,0,0,0,0,0,0,0,0,0
>NC_005260.1,0.222553316,0.205235943,0.295055609,0.277155132,0,0,0,0,0,0,0,0,0,0,0
>NC_005258.1,0.165985939,0.231201875,0.255440241,0.347371945,0,0,0,0,0,0,0,0,0,0,0
>NC_005284.1,0.281910143,0.324924815,0.197502962,0.19566208,0,0,0,0,0,0,0,0,0,0,0
>AY388628.1,0.17987009,0.195471377,0.313543374,0.311115158,0,0,0,0,0,0,0,0,0,0,0
>NC_005294.1,0.172516595,0.223896588,0.278514033,0.325072784,0,0,0,0,0,0,0,0,0,0,0
>NC_004466.2,0.26279586,0.259477397,0.243126827,0.234599916,0,0,0,0,0,0,0,0,0,0,0
>NC_004664.2,0.301427171,0.326193493,0.183165595,0.189189835,0,0,0,0,0,0,2.39E-05,0,0,0,0
>NC_005344.1,0.233025126,0.241656635,0.254898445,0.270419794,0,0,0,0,0,0,0,0,0,0,0
>NC_005355.1,0.151704404,0.199701418,0.299950236,0.348643941,0,0,0,0,0,0,0,0,0,0,0
>NC_005354.1,0.151599625,0.195367862,0.305908712,0.347123802,0,0,0,0,0,0,0,0,0,0,0
>NC_005357.1,0.321982444,0.332101758,0.182430047,0.163485751,0,0,0,0,0,0,0,0,0,0,0
>NC_005356.1,0.14141172,0.193919632,0.290471852,0.374196797,0,0,0,0,0,0,0,0,0,0,0
>NC_005808.1,0.32241052,0.331973842,0.182359422,0.163256217,0,0,0,0,0,0,0,0,0,0,0
>NC_005809.1,0.322083587,0.331933956,0.182231812,0.163750645,0,0,0,0,0,0,0,0,0,0,0
>NC_005822.1,0.157030959,0.198060425,0.290656471,0.354252145,0,0,0,0,0,0,0,0,0,0,0
>NC_005833.1,0.213633385,0.241891228,0.260238349,0.284237038,0,0,0,0,0,0,0,0,0,0,0
>NC_005841.1,0.233963905,0.240342103,0.252083786,0.273610205,0,0,0,0,0,0,0,0,0,0,0
>AY569307.1,0.149408368,0.210666365,0.268584046,0.371341222,0,0,0,0,0,0,0,0,0,0,0
>NC_005856.1,0.237921941,0.235189873,0.267489451,0.259398734,0,0,0,0,0,0,0,0,0,0,0
>NC_005859.1,0.199901437,0.192796715,0.311195072,0.296106776,0,0,0,0,0,0,0,0,0,0,0
>NC_005857.1,0.245305324,0.26954904,0.226255305,0.258890332,0,0,0,0,0,0,0,0,0,0,0
>NC_002661.2,0.142075357,0.191048391,0.289693074,0.377183177,0,0,0,0,0,0,0,0,0,0,0
>AJ550635.1,0.184453228,0.225955204,0.302591129,0.287000439,0,0,0,0,0,0,0,0,0,0,0
>NC_005263.2,0.316229736,0.320173527,0.184382589,0.179214148,0,0,0,0,0,0,0,0,0,0,0
>NC_004333.2,0.315605115,0.31769851,0.185918295,0.180778079,0,0,0,0,0,0,0,0,0,0,0
>NC_005342.2,0.316071131,0.318278361,0.185511411,0.180139097,0,0,0,0,0,0,0,0,0,0,0
>NC_005879.1,0.24969262,0.255890397,0.253029885,0.241387098,0,0,0,0,0,0,0,0,0,0,0
>NC_005891.1,0.250087971,0.254762982,0.252425476,0.242723571,0,0,0,0,0,0,0,0,0,0,0
>NC_005882.1,0.310302602,0.318303037,0.178349842,0.193044519,0,0,0,0,0,0,0,0,0,0,0
>NC_005884.1,0.226297878,0.227348514,0.280474157,0.265879451,0,0,0,0,0,0,0,0,0,0,0
>NC_005887.1,0.321065661,0.330873512,0.172486149,0.175574679,0,0,0,0,0,0,0,0,0,0,0
>NC_005893.1,0.208114181,0.237808303,0.249476587,0.304600929,0,0,0,0,0,0,0,0,0,0,0
>NC_005948.1,0.232266164,0.22435656,0.28876334,0.254613936,0,0,0,0,0,0,0,0,0,0,0
>NC_005949.1,0.232391714,0.22435656,0.28863779,0.254613936,0,0,0,0,0,0,0,0,0,0,0
>NC_002371.2,0.232024734,0.238879302,0.254218196,0.274877768,0,0,0,0,0,0,0,0,0,0,0
>AJ783769.1,0.174409648,0.177743246,0.310582517,0.337264589,0,0,0,0,0,0,0,0,0,0,0
>NC_006294.1,0.226255804,0.217532011,0.294076263,0.262135922,0,0,0,0,0,0,0,0,0,0,0
>NC_005345.2,0.359691182,0.351686306,0.137200325,0.151422186,0,0,0,0,0,0,0,0,0,0,0
>AJ748296.1,0.124490949,0.128325555,0.362117654,0.385065842,0,0,0,0,0,0,0,0,0,0,0
>NC_006548.1,0.316163272,0.315434845,0.182288821,0.186113062,0,0,0,0,0,0,0,0,0,0,0
>NC_006552.1,0.303274791,0.328445433,0.179415599,0.188864177,0,0,0,0,0,0,0,0,0,0,0
>NC_006565.1,0.196263743,0.176943781,0.328963976,0.297767674,0,4.56E-05,7.60E-06,7.60E-06,0,0,0,0,0,0,0
>NC_003287.2,0.202278758,0.205088185,0.346652099,0.245980958,0,0,0,0,0,0,0,0,0,0,0
>AY772740.1,0.214059948,0.225570247,0.282226202,0.278038245,0,0,2.63E-05,0,7.90E-05,0,0,0,0,0,0
>AJ630128.1,0.176910536,0.20129407,0.299551661,0.322243733,0,0,0,0,0,0,0,0,0,0,0
>AJ854042.1,0.182527448,0.17403341,0.33334382,0.310095322,0,0,0,0,0,0,0,0,0,0,0
>NC_006936.1,0.172929051,0.220619512,0.275972078,0.330479359,0,0,0,0,0,0,0,0,0,0,0
>NC_006945.1,0.169091889,0.231608731,0.253570466,0.345526812,0,0.000202102,0,0,0,0,0,0,0,0,0
>NC_006949.1,0.234200426,0.251727079,0.247377399,0.266695096,0,0,0,0,0,0,0,0,0,0,0
>AY950802.1,0.34468581,0.339149859,0.155815986,0.160348344,0,0,0,0,0,0,0,0,0,0,0
>NC_007021.1,0.136466574,0.166143865,0.319396202,0.377993359,0,0,0,0,0,0,0,0,0,0,0
>NC_007019.1,0.180382665,0.221127248,0.264032964,0.334457123,0,0,0,0,0,0,0,0,0,0,0
>NC_007022.1,0.223198025,0.215936356,0.28948966,0.271375959,0,0,0,0,0,0,0,0,0,0,0
>NC_007024.1,0.26354671,0.255334409,0.245849023,0.235108481,0,0.000161377,0,0,0,0,0,0,0,0,0
>NC_007065.1,0.16075046,0.198825967,0.276427256,0.363996317,0,0,0,0,0,0,0,0,0,0,0
>NC_007050.1,0.150396315,0.195470045,0.284262584,0.369871057,0,0,0,0,0,0,0,0,0,0,0
>NC_007066.1,0.136567783,0.167314277,0.322589482,0.373528458,0,0,0,0,0,0,0,0,0,0,0
>NC_007045.1,0.131961802,0.18220855,0.326027046,0.359802602,0,0,0,0,0,0,0,0,0,0,0
>NC_007046.1,0.137480081,0.155393153,0.33353481,0.373591956,0,0,0,0,0,0,0,0,0,0,0
>NC_007048.1,0.14817935,0.194842273,0.283651596,0.373326781,0,0,0,0,0,0,0,0,0,0,0
>NC_007049.1,0.147574231,0.193195543,0.288289315,0.370940911,0,0,0,0,0,0,0,0,0,0,0
>NC_007051.1,0.159785082,0.209376059,0.279127741,0.351711119,0,0,0,0,0,0,0,0,0,0,0
>NC_007052.1,0.142822878,0.194478969,0.288305968,0.374392185,0,0,0,0,0,0,0,0,0,0,0
>NC_007053.1,0.13709247,0.197540318,0.286390533,0.378976679,0,0,0,0,0,0,0,0,0,0,0
>NC_007054.1,0.137950287,0.196641133,0.291511267,0.373897313,0,0,0,0,0,0,0,0,0,0,0
>NC_007055.1,0.155422266,0.195714384,0.288752547,0.360110803,0,0,0,0,0,0,0,0,0,0,0
>NC_007056.1,0.158260831,0.201651725,0.285938259,0.354149185,0,0,0,0,0,0,0,0,0,0,0
>NC_007057.1,0.148820452,0.201257573,0.281462273,0.368459703,0,0,0,0,0,0,0,0,0,0,0
>NC_007058.1,0.151940679,0.198656007,0.284254432,0.365148882,0,0,0,0,0,0,0,0,0,0,0
>NC_007059.1,0.154265436,0.198125899,0.281439904,0.366168762,0,0,0,0,0,0,0,0,0,0,0
>NC_007060.1,0.155457973,0.201780345,0.276382989,0.366378693,0,0,0,0,0,0,0,0,0,0,0
>NC_007061.1,0.153263866,0.200481286,0.277954301,0.368300547,0,0,0,0,0,0,0,0,0,0,0
>NC_007062.1,0.154041737,0.201295275,0.280474934,0.364188055,0,0,0,0,0,0,0,0,0,0,0
>NC_007063.1,0.155837246,0.198861928,0.279868613,0.365432213,0,0,0,0,0,0,0,0,0,0,0
>NC_007064.1,0.156041573,0.20117367,0.276566661,0.366218095,0,0,0,0,0,0,0,0,0,0,0
>DQ004855.1,0.163832735,0.196561225,0.285034707,0.35443433,0,0,3.04E-05,3.81E-05,4.57E-05,7.61E-06,0,1.52E-05,0,0,0
>NC_007189.1,0.329520776,0.294339076,0.18502968,0.191110468,0,0,0,0,0,0,0,0,0,0,0
>NC_007291.1,0.23623893,0.203768015,0.291478555,0.268514499,0,0,0,0,0,0,0,0,0,0,0
>DQ079870.1,0.214568227,0.238134476,0.313612393,0.233684904,0,0,0,0,0,0,0,0,0,0,0
>DQ079871.1,0.21429748,0.236040191,0.314775161,0.234887169,0,0,0,0,0,0,0,0,0,0,0
>DQ079872.1,0.210630899,0.236628581,0.318099023,0.234641497,0,0,0,0,0,0,0,0,0,0,0
>DQ079874.1,0.213249835,0.236156889,0.316908372,0.233684904,0,0,0,0,0,0,0,0,0,0,0
